"region"|"word"|"score"
"Caribbean"|"mustiness"|"48.79"
"Caribbean"|"butterscotch"|"32.53"
"Caribbean"|"attractive"|"29.5"
"Caribbean"|"sort"|"27.23"
"Caribbean"|"smoky"|"25.97"
"Asia_Indonesia"|"earth"|"25.79"
"Hawaii"|"rating"|"22.08"
"Caribbean"|"remain"|"21.63"
"Caribbean"|"k"|"21.63"
"Caribbean"|"platinum"|"21.04"
"Caribbean"|"pungency"|"20.47"
"Caribbean"|"semi"|"19.94"
"Hawaii"|"overwhelm"|"19.52"
"Caribbean"|"emerge"|"18.97"
"Hawaii"|"uneven"|"18.47"
"Hawaii"|"sour"|"17.16"
"Hawaii"|"easy"|"17.16"
"Caribbean"|"keurig"|"16.95"
"Caribbean"|"b"|"16.95"
"Caribbean"|"produce"|"16.6"
"Caribbean"|"grass"|"16.6"
"Caribbean"|"lean"|"16.34"
"Caribbean"|"using"|"16.26"
"Caribbean"|"capsule"|"15.94"
"Hawaii"|"moment"|"15.92"
"Asia_Indonesia"|"leaves"|"15.81"
"Caribbean"|"distinct"|"15.78"
"Hawaii"|"pure"|"15.78"
"Caribbean"|"serving"|"15.64"
"Caribbean"|"brewed"|"15.64"
"Caribbean"|"device"|"15.64"
"Caribbean"|"toast"|"15.56"
"Caribbean"|"brewing"|"15.35"
"Caribbean"|"serve"|"15.35"
"Caribbean"|"single"|"15.35"
"South_America"|"stachura"|"15.19"
"Hawaii"|"dominating"|"15.07"
"Hawaii"|"extend"|"14.82"
"Hawaii"|"meyer"|"14.82"
"Asia_Indonesia"|"moist"|"14.77"
"Caribbean"|"ounce"|"14.54"
"Hawaii"|"quite"|"14.53"
"South_America"|"t"|"14.48"
"Caribbean"|"mild"|"14.27"
"Hawaii"|"refreshing"|"14.12"
"Caribbean"|"dominated"|"14.05"
"Hawaii"|"agreeable"|"13.86"
"Hawaii"|"main"|"13.86"
"Caribbean"|"plush"|"13.83"
"Asia_Indonesia"|"grapefruit"|"13.68"
"Caribbean"|"banana"|"13.6"
"Caribbean"|"lily"|"13.6"
"Caribbean"|"cool"|"13.42"
"Caribbean"|"muted"|"13.42"
"Caribbean"|"suggestion"|"13.29"
"Asia_Indonesia"|"fallen"|"13.17"
"Asia_Indonesia"|"jennifer"|"13.16"
"Hawaii"|"apple"|"13.1"
"Hawaii"|"giddy"|"13.01"
"Hawaii"|"lyrical"|"12.84"
"Asia_Indonesia"|"sumatra"|"12.46"
"Hawaii"|"extraordinary"|"12.27"
"Hawaii"|"taste"|"12.27"
"Caribbean"|"nut"|"12.25"
"Caribbean"|"impressive"|"12.15"
"Hawaii"|"sharp"|"11.98"
"Hawaii"|"big"|"11.98"
"Hawaii"|"elegant"|"11.86"
"Hawaii"|"subtle"|"11.81"
"Caribbean"|"character"|"11.8"
"Hawaii"|"shadow"|"11.59"
"Hawaii"|"powerful"|"11.3"
"Asia_Indonesia"|"musty"|"11.28"
"Caribbean"|"cedar"|"11.25"
"Hawaii"|"good"|"11.23"
"Hawaii"|"richness"|"10.9"
"Asia_Indonesia"|"wood"|"10.9"
"Caribbean"|"delicate"|"10.83"
"Hawaii"|"subdued"|"10.59"
